x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200,x201,x202,x203,x204,x205,x206,x207,x208,x209,x210,x211,x212,x213,x214,x215,x216,x217,x218,x219,x220,x221,x222,x223,x224,x225,x226,x227,x228,x229,x230,x231,x232,x233,x234,x235,x236,x237,x238,x239,x240,x241,x242,x243,x244,x245,x246,x247,x248,x249,x250,x251,x252,x253,x254,x255,x256,x257,x258,x259,x260,x261,x262,x263,x264,x265,x266,x267,x268,x269,x270,x271,x272,x273,x274,x275,x276,x277,x278,x279,x280,x281,x282,x283,x284,x285,x286,x287,x288,x289,x290,x291,x292,x293,x294,x295,x296,x297,x298,x299,x300,x301,x302,x303,x304,x305,x306,x307,x308,x309,x310,x311,x312,x313,x314,x315,x316,x317,x318,x319,x320,x321,x322,x323,x324,x325,x326,x327,x328,x329,x330,x331,x332,x333,x334,x335,x336,x337,x338,x339,x340,x341,x342,x343,x344,x345,x346,x347,x348,x349,x350,x351,x352,x353,x354,x355,x356,x357,x358,x359,x360,x361,x362,x363,x364,x365,x366,x367,x368,x369,x370,x371,x372,x373,x374,x375,x376,x377,x378,x379,x380,x381,x382,x383,x384,x385,x386,x387,x388,x389,x390,x391,x392
0.0 + 0.0im,10.0 + 0.0im,11.0 + 0.0im,12.0 + 0.0im,13.0 + 0.0im,14.0 + 0.0im,15.0 + 0.0im,16.0 + 0.0im,17.0 + 0.0im,18.0 + 0.0im,19.0 + 0.0im,20.0 + 0.0im,21.0 + 0.0im,22.0 + 0.0im,23.0 + 0.0im,24.0 + 0.0im,25.0 + 0.0im,26.0 + 0.0im,27.0 + 0.0im,28.0 + 0.0im,29.0 + 0.0im,30.0 + 0.0im,31.0 + 0.0im,32.0 + 0.0im,33.0 + 0.0im,34.0 + 0.0im,35.0 + 0.0im,36.0 + 0.0im,37.0 + 0.0im,38.0 + 0.0im,39.0 + 0.0im,40.0 + 0.0im,41.0 + 0.0im,42.0 + 0.0im,43.0 + 0.0im,44.0 + 0.0im,45.0 + 0.0im,46.0 + 0.0im,47.0 + 0.0im,48.0 + 0.0im,49.0 + 0.0im,50.0 + 0.0im,51.0 + 0.0im,52.0 + 0.0im,53.0 + 0.0im,54.0 + 0.0im,55.0 + 0.0im,56.0 + 0.0im,57.0 + 0.0im,58.0 + 0.0im,59.0 + 0.0im,60.0 + 0.0im,61.0 + 0.0im,62.0 + 0.0im,63.0 + 0.0im,64.0 + 0.0im,65.0 + 0.0im,66.0 + 0.0im,67.0 + 0.0im,68.0 + 0.0im,69.0 + 0.0im,70.0 + 0.0im,71.0 + 0.0im,72.0 + 0.0im,73.0 + 0.0im,74.0 + 0.0im,75.0 + 0.0im,76.0 + 0.0im,77.0 + 0.0im,78.0 + 0.0im,79.0 + 0.0im,80.0 + 0.0im,81.0 + 0.0im,82.0 + 0.0im,83.0 + 0.0im,84.0 + 0.0im,85.0 + 0.0im,86.0 + 0.0im,87.0 + 0.0im,88.0 + 0.0im,89.0 + 0.0im,90.0 + 0.0im,91.0 + 0.0im,92.0 + 0.0im,93.0 + 0.0im,94.0 + 0.0im,95.0 + 0.0im,96.0 + 0.0im,97.0 + 0.0im,98.0 + 0.0im,99.0 + 0.0im,100.0 + 0.0im,101.0 + 0.0im,102.0 + 0.0im,103.0 + 0.0im,104.0 + 0.0im,105.0 + 0.0im,106.0 + 0.0im,107.0 + 0.0im,108.0 + 0.0im,109.0 + 0.0im,110.0 + 0.0im,111.0 + 0.0im,112.0 + 0.0im,113.0 + 0.0im,114.0 + 0.0im,115.0 + 0.0im,116.0 + 0.0im,117.0 + 0.0im,118.0 + 0.0im,119.0 + 0.0im,120.0 + 0.0im,121.0 + 0.0im,122.0 + 0.0im,123.0 + 0.0im,124.0 + 0.0im,125.0 + 0.0im,126.0 + 0.0im,127.0 + 0.0im,128.0 + 0.0im,129.0 + 0.0im,130.0 + 0.0im,131.0 + 0.0im,132.0 + 0.0im,133.0 + 0.0im,134.0 + 0.0im,135.0 + 0.0im,136.0 + 0.0im,137.0 + 0.0im,138.0 + 0.0im,139.0 + 0.0im,140.0 + 0.0im,141.0 + 0.0im,142.0 + 0.0im,143.0 + 0.0im,144.0 + 0.0im,145.0 + 0.0im,146.0 + 0.0im,147.0 + 0.0im,148.0 + 0.0im,149.0 + 0.0im,150.0 + 0.0im,151.0 + 0.0im,152.0 + 0.0im,153.0 + 0.0im,154.0 + 0.0im,155.0 + 0.0im,156.0 + 0.0im,157.0 + 0.0im,158.0 + 0.0im,159.0 + 0.0im,160.0 + 0.0im,161.0 + 0.0im,162.0 + 0.0im,163.0 + 0.0im,164.0 + 0.0im,165.0 + 0.0im,166.0 + 0.0im,167.0 + 0.0im,168.0 + 0.0im,169.0 + 0.0im,170.0 + 0.0im,171.0 + 0.0im,172.0 + 0.0im,173.0 + 0.0im,174.0 + 0.0im,175.0 + 0.0im,176.0 + 0.0im,177.0 + 0.0im,178.0 + 0.0im,179.0 + 0.0im,180.0 + 0.0im,181.0 + 0.0im,182.0 + 0.0im,183.0 + 0.0im,184.0 + 0.0im,185.0 + 0.0im,186.0 + 0.0im,187.0 + 0.0im,188.0 + 0.0im,189.0 + 0.0im,190.0 + 0.0im,191.0 + 0.0im,192.0 + 0.0im,193.0 + 0.0im,194.0 + 0.0im,195.0 + 0.0im,196.0 + 0.0im,197.0 + 0.0im,198.0 + 0.0im,199.0 + 0.0im,200.0 + 0.0im,201.0 + 0.0im,202.0 + 0.0im,203.0 + 0.0im,204.0 + 0.0im,205.0 + 0.0im,206.0 + 0.0im,207.0 + 0.0im,208.0 + 0.0im,209.0 + 0.0im,210.0 + 0.0im,211.0 + 0.0im,212.0 + 0.0im,213.0 + 0.0im,214.0 + 0.0im,215.0 + 0.0im,216.0 + 0.0im,217.0 + 0.0im,218.0 + 0.0im,219.0 + 0.0im,220.0 + 0.0im,221.0 + 0.0im,222.0 + 0.0im,223.0 + 0.0im,224.0 + 0.0im,225.0 + 0.0im,226.0 + 0.0im,227.0 + 0.0im,228.0 + 0.0im,229.0 + 0.0im,230.0 + 0.0im,231.0 + 0.0im,232.0 + 0.0im,233.0 + 0.0im,234.0 + 0.0im,235.0 + 0.0im,236.0 + 0.0im,237.0 + 0.0im,238.0 + 0.0im,239.0 + 0.0im,240.0 + 0.0im,241.0 + 0.0im,242.0 + 0.0im,243.0 + 0.0im,244.0 + 0.0im,245.0 + 0.0im,246.0 + 0.0im,247.0 + 0.0im,248.0 + 0.0im,249.0 + 0.0im,250.0 + 0.0im,251.0 + 0.0im,252.0 + 0.0im,253.0 + 0.0im,254.0 + 0.0im,255.0 + 0.0im,256.0 + 0.0im,257.0 + 0.0im,258.0 + 0.0im,259.0 + 0.0im,260.0 + 0.0im,261.0 + 0.0im,262.0 + 0.0im,263.0 + 0.0im,264.0 + 0.0im,265.0 + 0.0im,266.0 + 0.0im,267.0 + 0.0im,268.0 + 0.0im,269.0 + 0.0im,270.0 + 0.0im,271.0 + 0.0im,272.0 + 0.0im,273.0 + 0.0im,274.0 + 0.0im,275.0 + 0.0im,276.0 + 0.0im,277.0 + 0.0im,278.0 + 0.0im,279.0 + 0.0im,280.0 + 0.0im,281.0 + 0.0im,282.0 + 0.0im,283.0 + 0.0im,284.0 + 0.0im,285.0 + 0.0im,286.0 + 0.0im,287.0 + 0.0im,288.0 + 0.0im,289.0 + 0.0im,290.0 + 0.0im,291.0 + 0.0im,292.0 + 0.0im,293.0 + 0.0im,294.0 + 0.0im,295.0 + 0.0im,296.0 + 0.0im,297.0 + 0.0im,298.0 + 0.0im,299.0 + 0.0im,300.0 + 0.0im,301.0 + 0.0im,302.0 + 0.0im,303.0 + 0.0im,304.0 + 0.0im,305.0 + 0.0im,306.0 + 0.0im,307.0 + 0.0im,308.0 + 0.0im,309.0 + 0.0im,310.0 + 0.0im,311.0 + 0.0im,312.0 + 0.0im,313.0 + 0.0im,314.0 + 0.0im,315.0 + 0.0im,316.0 + 0.0im,317.0 + 0.0im,318.0 + 0.0im,319.0 + 0.0im,320.0 + 0.0im,321.0 + 0.0im,322.0 + 0.0im,323.0 + 0.0im,324.0 + 0.0im,325.0 + 0.0im,326.0 + 0.0im,327.0 + 0.0im,328.0 + 0.0im,329.0 + 0.0im,330.0 + 0.0im,331.0 + 0.0im,332.0 + 0.0im,333.0 + 0.0im,334.0 + 0.0im,335.0 + 0.0im,336.0 + 0.0im,337.0 + 0.0im,338.0 + 0.0im,339.0 + 0.0im,340.0 + 0.0im,341.0 + 0.0im,342.0 + 0.0im,343.0 + 0.0im,344.0 + 0.0im,345.0 + 0.0im,346.0 + 0.0im,347.0 + 0.0im,348.0 + 0.0im,349.0 + 0.0im,350.0 + 0.0im,351.0 + 0.0im,352.0 + 0.0im,353.0 + 0.0im,354.0 + 0.0im,355.0 + 0.0im,356.0 + 0.0im,357.0 + 0.0im,358.0 + 0.0im,359.0 + 0.0im,360.0 + 0.0im,361.0 + 0.0im,362.0 + 0.0im,363.0 + 0.0im,364.0 + 0.0im,365.0 + 0.0im,366.0 + 0.0im,367.0 + 0.0im,368.0 + 0.0im,369.0 + 0.0im,370.0 + 0.0im,371.0 + 0.0im,372.0 + 0.0im,373.0 + 0.0im,374.0 + 0.0im,375.0 + 0.0im,376.0 + 0.0im,377.0 + 0.0im,378.0 + 0.0im,379.0 + 0.0im,380.0 + 0.0im,381.0 + 0.0im,382.0 + 0.0im,383.0 + 0.0im,384.0 + 0.0im,385.0 + 0.0im,386.0 + 0.0im,387.0 + 0.0im,388.0 + 0.0im,389.0 + 0.0im,390.0 + 0.0im,391.0 + 0.0im,392.0 + 0.0im,393.0 + 0.0im,394.0 + 0.0im,395.0 + 0.0im,396.0 + 0.0im,397.0 + 0.0im,398.0 + 0.0im,399.0 + 0.0im,400.0 + 0.0im
0.01 + 0.0im,500.43328834012715 - 571.6378863171451im,490.04444960669815 - 450.3491225593595im,462.6920980921595 - 353.240353956101im,427.61297648182665 - 277.90081407728167im,390.49399371924255 - 220.1058991659582im,354.36031295162496 - 175.74633131257326im,320.6259982875895 - 141.47808212577962im,289.8304741904249 - 114.7714006790154im,262.0682018446526 - 93.76512621400913im,237.2196092760041 - 77.09773032816719im,215.07033345402652 - 63.767772179973164im,195.37148286720668 - 53.030821818989175im,177.87005394148449 - 44.326828629267204im,162.32391129117337 - 37.22947868243314im,148.50886599179282 - 31.410832574935846im,136.22149109094028 - 26.616305292619042im,125.27960660201767 - 22.646670585620452im,115.52159559833912 - 19.3449722726705im,106.80495705404218 - 16.586786382955314im,99.00465615160857 - 14.272952869166431im,92.01128398025115 - 12.324032024441067im,85.72930663440137 - 10.676086585202926im,80.07538630357925 - 9.27742018548528im,74.97681417089359 - 8.086041909360041im,70.37019936745897 - 7.067717225545608im,66.20019103070882 - 6.194406677587056im,62.418394619190316 - 5.443051217004661im,58.98247578203046 - 4.79462210645595im,55.855326891591 - 4.233354582873759im,53.00434638360648 - 3.7461335645249343im,50.40088069636835 - 3.3220203701114994im,48.01965022165523 - 2.951850577214078im,45.83834130788046 - 2.627926134582609im,43.83720963174348 - 2.343759618456234im,41.99874515027009 - 2.093865104633637im,40.307396917654756 - 1.8735919127203957im,38.74932003857413 - 1.6789846580772716im,37.31217208956966 - 1.5066710475095726im,35.98491438431738 - 1.3537668038529465im,34.75768125160623 - 1.2178012574250985im,33.62161939190921 - 1.0966503168601385im,32.56878821565306 - 0.9884861441678018im,31.592024860538665 - 0.8917279586666287im,30.684889225681726 - 0.8050100711357302im,29.84156921948382 - 0.7271480255824802im,29.056804748181875 - 0.6571116842675244im,28.325837312638587 - 0.5940043146849935im,27.64577335517229 - 0.537128385142087im,27.008445856522766 - 0.48554725080486427im,26.414550027645536 - 0.43891482354191225im,25.859426102381423 - 0.3966204658802804im,25.340128348216886 - 0.3582028421485074im,24.853953285109707 - 0.3232541062038596im,24.398451588723493 - 0.29141604671988713im,23.971365199272118 - 0.26237064783375685im,23.570643202050928 - 0.2358374912194931im,23.194388394302337 - 0.21156708980087519im,22.84086962852609 - 0.18933823598317373im,22.508494991164678 - 0.16895414204339954im,22.195798768117566 - 0.15023929672328443im,21.901434790414285 - 0.13303736839635744im,21.624158981615665 - 0.117208338565661im,21.36282539251696 - 0.10262710440777602im,21.11637713941157 - 0.08918142107620235im,20.88383462684902 - 0.07677050732508252im,20.664296475861953 - 0.0653038812203435im,20.456921068362227 - 0.05469990757016176im,20.260932735661985 - 0.04488511972527006im,20.075616780846353 - 0.03579333897760241im,19.90029984070569 - 0.027364456833401635im,19.734362839314883 - 0.019544233901755463im,19.577233226642814 - 0.012283594309108086im,19.428367542725553 - 0.0055377882476743im,19.28727329425172 + 0.0007335622668590983im,19.15348077707613 + 0.0065674187502414135im,19.026556275465204 + 0.01199733612910639im,18.906094169269366 + 0.017053928916577477im,18.79171838573337 + 0.021765158603727516im,18.683076280829674 + 0.026156483772985174im,18.57983705743849 + 0.030251252480604264im,18.48168701608501 + 0.034071033003769916im,18.388345643431137 + 0.03763521480688066im,18.29953409036943 + 0.04096202109217726im,18.21500641546044 + 0.04406777054457938im,18.134513505538838 + 0.04696793298850894im,18.05785508113281 + 0.04967609478968623im,17.984780166251067 + 0.052205908133251065im,17.91514020354491 + 0.054568392184421236im,17.848715610788847 + 0.05677524643686053im,17.785347147051016 + 0.0588363287893169im,17.724866325528584 + 0.06076109919461424im,17.667116066101823 + 0.06255833907707549im,17.611963255572746 + 0.06423597194052381im,17.559261366616152 + 0.06580156043015645im,17.508882753036044 + 0.067262112416721im,17.460712713552994 + 0.06862395174349654im,17.414626717386763 + 0.06989325039450571im,17.370520695974953 + 0.07107551120142422im,17.32829978885543 + 0.0721758784607067im,17.2878598925938 + 0.07319930133306458im,17.249112101489395 + 0.07415027698027746im,17.211967115901434 + 0.07503304093635137im,17.176358193732646 + 0.0758514358747253im,17.14218687246139 + 0.07660941314646386im,17.109395156766585 + 0.07731013055794878im,17.077906879737196 + 0.07795705135243092im,17.047661418681322 + 0.07855305031823907im,17.01859875513998 + 0.07910097805355584im,16.990650014935184 + 0.07960366490164922im,16.963769993269718 + 0.08006347841907842im,16.937914249757846 + 0.08048259785923574im,16.913015716672557 + 0.08086351948151128im,16.890271684727075 + 0.08120108414625016im,16.867154232587264 + 0.08151169521861851im,16.84363122896334 + 0.08179670037711026im,16.822139946062443 + 0.08204394571215347im,16.801401296510182 + 0.08226212314994343im,16.781367489119987 + 0.08245280386358289im,16.762020105179804 + 0.08261735005173697im,16.74455394392304 + 0.08275095940869921im,16.725227447429333 + 0.08287363905293878im,16.70773423817111 + 0.08296780423557759im,16.69201598560954 + 0.08303519652453616im,16.674379754400576 + 0.08309419479857859im,16.65847496634732 + 0.08312847688696033im,16.644268975790492 + 0.08313938799044239im,16.629297358999654 + 0.08313887586817678im,16.613550716753597 + 0.0831273639704423im,16.59943971535953 + 0.0830952260279713im,16.58571416917769 + 0.08304863245479564im,16.573568399702914 + 0.08298341138223678im,16.559392908148713 + 0.08291469506076875im,16.54674938644288 + 0.082828848791236im,16.534430073121666 + 0.0827311914969712im,16.523614933416464 + 0.08261791471899953im,16.511897127287362 + 0.08249867726583973im,16.499270853103567 + 0.08237378586959337im,16.488099455881414 + 0.08223493084754521im,16.477187241138104 + 0.08208707586923226im,16.46650837370294 + 0.08193071112793139im,16.45606763960519 + 0.08176623614440247im,16.445844635748877 + 0.08159409020150371im,16.43582542824331 + 0.08141469847143847im,16.42600282836882 + 0.0812284727443688im,16.41637112459841 + 0.08103574134579285im,16.406915827693766 + 0.08083684796042652im,16.397636986555916 + 0.08063213000383095im,16.388515222984218 + 0.08042195004998108im,16.37954690051711 + 0.08020655468759083im,16.370723717371654 + 0.0799862775043574im,16.362037852419544 + 0.07976140796134744im,16.354641590497756 + 0.07952860769563283im,16.34505710923779 + 0.07929877026551445im,16.336745728280025 + 0.07906158295013603im,16.328546043923062 + 0.07882071458737638im,16.320458162074008 + 0.07857643333185994im,16.312467487666083 + 0.07832895889063338im,16.304572867973103 + 0.07807843140438343im,16.297900935470118 + 0.07782191228055613im,16.28904892719182 + 0.07756921032554857im,16.281408891301307 + 0.07731081688640716im,16.27385221596613 + 0.07705009998945164im,16.26636047208313 + 0.07678728953393252im,16.258944289087893 + 0.07652243784224863im,16.25158981671445 + 0.07625577553092032im,16.244295982678498 + 0.07598739869998233im,16.24359346934654 + 0.07566797359449368im,16.241565553896955 + 0.0753651675642358im,16.222747848953237 + 0.07517336743399461im,16.21566546754963 + 0.07489947970304867im,16.20862863051952 + 0.07462447610663203im,16.208058236417205 + 0.07430141604111949im,16.201100536552403 + 0.0740248555149691im,16.194163636897336 + 0.07374763762458385im,16.1808758519915 + 0.07351557011898133im,16.174026360188282 + 0.07323655829362866im,16.173552917195114 + 0.07291200638205289im,16.160414739624564 + 0.07267710859709269im,16.153649645394292 + 0.07239681461476265im,16.153197838628408 + 0.0720723237464108im,16.14019077200876 + 0.07183533287718848im,16.13974508804002 + 0.07151125532712829im,16.13773806179622 + 0.07120442749661449im,16.12015585123144 + 0.07099212251576456im,16.11351202215097 + 0.07071099990953693im,16.106883625726088 + 0.07043001933941102im,16.100267004358713 + 0.0701491908905776im,16.09366603399834 + 0.06986847154473738im,16.09318609697319 + 0.06954751624079457im,16.086587411236632 + 0.0692677230502067im,16.079990096507228 + 0.06898823973676242im,16.06735294399912 + 0.06874866551083719im,16.06682552981354 + 0.06843045132039471im,16.060251970611233 + 0.06815215879349876im,16.04769050975397 + 0.0679129413218701im,16.04114405042124 + 0.06763536113728083im,16.034604980370194 + 0.06735837324808128im,16.02806556086702 + 0.06708197047839888im,16.027440982617907 + 0.06676895502691167im,16.02088339162284 + 0.06649412594336618im,16.008458863462295 + 0.06625658243166549im,16.00192322489361 + 0.0659828498458166im,15.995390053827087 + 0.06570982052487354im,15.988849697664493 + 0.06543758273254073im,15.988095259933678 + 0.0651306929874008im,15.98153038813668 + 0.06486029140799im,15.974965530746516 + 0.0645907171054433im,15.968396577189075 + 0.06432197077189201im,15.961824539969761 + 0.06405408908378055im,15.949574022097341 + 0.06382107055513223im,15.948665409269971 + 0.06352097028353929im,15.94207963519714 + 0.0632557579677718im,15.929877284475115 + 0.0630246711878983im,15.928891991411948 + 0.06272811272837664im,15.922290527029666 + 0.06246571533613076im,15.915682343076703 + 0.06220425761109918im,15.909068687950821 + 0.06194376679277608im,15.902449051162668 + 0.06168425953540452im,15.895821342303062 + 0.061425765667821895im,15.883732689236561 + 0.06119964434899845im,15.87711458251719 + 0.06094292186861799im,15.875898955021002 + 0.060656351125507706im,15.863858371231988 + 0.06043250210698576im,15.86258371859323 + 0.060148481563838306im,15.855914433699601 + 0.059896158242407384im,15.843919644207203 + 0.05967475081073266im,15.84255373259459 + 0.05939461751647117im,15.835861391443443 + 0.05914539920412698im,15.823912803302905 + 0.05892647226743198im,15.822454681050305 + 0.05865022911986647im,15.81573976553498 + 0.05840425100754773im,15.803836884600768 + 0.058187836049333586im,15.797129896064622 + 0.05794377974631388im,15.79041436401645 + 0.05770083216327101im,15.783691457359472 + 0.05745895268034005im,15.782044421874572 + 0.057190597798751956im,15.770221515656287 + 0.056978497070094315im,15.768511012371995 + 0.05671277439520404im,15.761733842221748 + 0.05647547428650526im,15.749958483107036 + 0.05626599595878508im,15.743189322395708 + 0.056030694762587145im,15.741350984832726 + 0.055770217385128884im,15.729621400447376 + 0.05556339773417437im,15.727723891874634 + 0.05530551803444706im,15.71603544882521 + 0.05510044860058855im,15.71406555323214 + 0.05484522945911172im,15.702407694955001 + 0.05464192924474852im,15.69558090272482 + 0.05441435141266128im,15.688753036902725 + 0.05418778446734986im,15.681915649316137 + 0.05396234180895541im,15.675070381763886 + 0.05373800848754476im,15.668217127471591 + 0.05351473977412685im,15.661357588256838 + 0.053292611854749435im,15.654490891957 + 0.0530714982755145im,15.647617837508632 + 0.05285152613303224im,15.640738321733739 + 0.05263257902000454im,15.633852109816269 + 0.052414737348621766im,15.626957593614746 + 0.052197987260065415im,15.62192238917366 + 0.051976158996419976im,15.613150459893532 + 0.05176765407295003im,15.60623786626852 + 0.05155414286877995im,15.599317541017985 + 0.05134164999075411im,15.5923936676631 + 0.05113019234184841im,15.585461376524053 + 0.05091984228889659im,15.578524230327679 + 0.05071054305846837im,15.573427760940573 + 0.05049625436603688im,15.564632084976676 + 0.05029506830141062im,15.559235578086202 + 0.05008261716560543im,15.550716286589857 + 0.04988375825680062im,15.543751742293436 + 0.04967955972147352im,15.540164242487863 + 0.049464456763859514im,15.531350823355536 + 0.04926838305393768im,15.522821923590483 + 0.04907358187460418im,15.517377242654048 + 0.048867450057640455im,15.512205557885732 + 0.0486626436835862im,15.50367203067849 + 0.04847081116603293im,15.494853872838192 + 0.048279730801706125im,15.489374555629354 + 0.04807776934310931im,15.482358556863664 + 0.04788286448871764im,15.477151142990058 + 0.04768315666275419im,15.466800409691643 + 0.047502000315956666im,15.461298840615747 + 0.04730407213540259im,15.456067719017534 + 0.04710738048235145im,15.447521441676379 + 0.046923340191152386im,15.438689969406461 + 0.04674003386508344im,15.434949801749339 + 0.046540417461543956im,15.427851862087163 + 0.04635277327985523im,15.419068066732205 + 0.04617292910117751im,15.41201692684231 + 0.0459877835293714im,15.40525372214107 + 0.04580371953225845im,15.400037544899932 + 0.04561390080745657im,15.390846840517474 + 0.045438015209674255im,15.383960091167125 + 0.04525640224253159im,15.37699753176736 + 0.04507635110472753im,15.37137114510117 + 0.04489055628507427im,15.366238306811452 + 0.044705839678963924im,15.35761547305962 + 0.04453409207928991im,15.348609035757937 + 0.044363419082900986im,15.341353173495502 + 0.04418775116743319im,15.336377948886318 + 0.04400656699949564im,15.328382504728898 + 0.043834873291972505im,15.321845606256002 + 0.04366024658152843im,15.314032366595747 + 0.04348970080261436im,15.308627521084727 + 0.04331237072512583im,15.300160131536199 + 0.0431479041257156im,15.291755549471013 + 0.04298189562943337im,15.285982173543175 + 0.042809499158256104im,15.27613968428077 + 0.04265065322345715im,15.270758806242918 + 0.042478286246350326im,15.264687384613127 + 0.04230847486774844im,15.256566094855314 + 0.042146852536437136im,15.250849592300305 + 0.04197647571975633im,15.242271429465452 + 0.04181839867705796im,15.235174241891313 + 0.0416555957762141im,15.229198132428877 + 0.04149034075407841im,15.221792905144053 + 0.04132923805342926im,15.217196360220212 + 0.04116106839516492im,15.211103712873756 + 0.040998033839561986im,15.19968192152424 + 0.04085407620061979im,15.193385669104751 + 0.04069299911509024im,15.18730797625124 + 0.040533548366815664im,15.178468605082635 + 0.0403832609964019im,15.169700914766583 + 0.04023288492803244im,15.168434203038812 + 0.040058463416038775im,15.157168276151543 + 0.03991929034551669im,15.149791088243001 + 0.03976619271039054im,15.146110119081166 + 0.039602843803303714im,15.135593954361454 + 0.03946231655830352im,15.129468580596049 + 0.03930818115545439im,15.122377925610742 + 0.03915815954815351im,15.114303961393567 + 0.039012349517856766im,15.107391458862786 + 0.03886356331632055im,15.102737241490496 + 0.03870776168315691im,15.0939866999386 + 0.038565813978788804im,15.086205822128132 + 0.0384228978343032im,15.079121328933303 + 0.03827737146140537im,15.072710156960573 + 0.038129334466701706im,15.066277383584694 + 0.03798378752799252im,15.056241953307392 + 0.03785019055900137im,15.053007050151914 + 0.03769417401646745im,15.04208123148831 + 0.03756564755388958im,15.03632873552318 + 0.037419743565958466im,15.029248743406924 + 0.03727929051268554im,15.02331024126227 + 0.03713591379956934im,15.01509467563878 + 0.03700051212725496im,15.009158518890821 + 0.036858547776828905im,15.000586312287723 + 0.0367259467180229im,14.99407314344438 + 0.036587206123706716im,14.987007275657733 + 0.036450915219369294im,14.979390134640992 + 0.03631706009652743im,14.971398056031125 + 0.03618533077068068im,14.968076294870174 + 0.03603828585441037im,14.958567703399872 + 0.03591294446864533im,14.95434376889183 + 0.03577139248153252im,14.944467589539913 + 0.035647758965641714im,14.93983920755709 + 0.03550803948304671im,14.931859546188726 + 0.03538027282923413im,14.925178755656923 + 0.03524960342265166im,14.9162818084739 + 0.03512526340190221im,14.911084015684317 + 0.03499097528751385im,14.90342348896151 + 0.03486458043324952im,14.893926198210107 + 0.03474451389710614im,14.889973324784838 + 0.03460781760600531im,14.88130262787059 + 0.03448619488894917im,14.874363272530982 + 0.034360558259382286im,14.866754493392396 + 0.03423667704974831im,14.860252123151003 + 0.03411042564088854im,14.85305227283624 + 0.033986780096525636im,14.846229087728087 + 0.03386298010374603im,14.842092533711085 + 0.03373104054483867im,14.832934962905616 + 0.03361532261745031im,14.825222599633449 + 0.033496344331520496im,14.81804006221885 + 0.033375705564397326im,14.81247237927762 + 0.03325063528836211im,14.806383034254823 + 0.033127814495345534im,14.798548587911997 + 0.03301185372120273im,14.788901984284307 + 0.03290158166795084im,14.785418319660208 + 0.0327718397677407im,14.779135198103893 + 0.032652639315558264im,14.769360749785038 + 0.03254450475121114im,14.761918168234882 + 0.03242958891359583im,14.755445745937065 + 0.03231223602564249im,14.74800665408276 + 0.03219841005644731im,14.742227568766722 + 0.03207971351124201im,14.735465653481265 + 0.03196515566154577im,14.7277275600743 + 0.03185457970446746im,14.720788616358254 + 0.031741504708852536im,14.714741067997522 + 0.03162604364179951im,14.708959593041879 + 0.031510162894284856im,14.698584098335601 + 0.031409580998010694im,14.692992355312368 + 0.031294400868147505im
